Rep,Genotype,N-level,Inoculation,Type,wet-weight_mg
R1,G1,N1,A,Shoot,52
R1,G1,N1,B,Shoot,59.5
R1,G1,N1,C,Shoot,49.5
R1,G1,N1,D,Shoot,42
R1,G1,N1,E,Shoot,47.5
R1,G1,N1,F,Shoot,43
R1,G1,N1,G,Shoot,66.5
R1,G1,N2,A,Shoot,29
R1,G1,N2,B,Shoot,37
R1,G1,N2,C,Shoot,26.5
R1,G1,N2,D,Shoot,28
R1,G1,N2,E,Shoot,29
R1,G1,N2,F,Shoot,26.5
R1,G1,N2,G,Shoot,18.5
R1,G2,N1,A,Shoot,31.5
R1,G2,N1,B,Shoot,28.5
R1,G2,N1,C,Shoot,51
R1,G2,N1,D,Shoot,44
R1,G2,N1,E,Shoot,29
R1,G2,N1,F,Shoot,30.5
R1,G2,N1,G,Shoot,37
R1,G2,N2,A,Shoot,21
R1,G2,N2,B,Shoot,17.5
R1,G2,N2,C,Shoot,15
R1,G2,N2,D,Shoot,21.5
R1,G2,N2,E,Shoot,16
R1,G2,N2,F,Shoot,19
R1,G2,N2,G,Shoot,19
R2,G1,N1,A,Shoot,38
R2,G1,N1,B,Shoot,59
R2,G1,N1,C,Shoot,19
R2,G1,N1,D,Shoot,55.5
R2,G1,N1,E,Shoot,28
R2,G1,N1,F,Shoot,34.5
R2,G1,N1,G,Shoot,49.5
R2,G1,N2,A,Shoot,18.5
R2,G1,N2,B,Shoot,13.5
R2,G1,N2,C,Shoot,48
R2,G1,N2,D,Shoot,73
R2,G1,N2,E,Shoot,43.5
R2,G1,N2,F,Shoot,36.5
R2,G1,N2,G,Shoot,43.5
R2,G2,N1,A,Shoot,32.5
R2,G2,N1,B,Shoot,32.5
R2,G2,N1,C,Shoot,37
R2,G2,N1,D,Shoot,62
R2,G2,N1,E,Shoot,52
R2,G2,N1,F,Shoot,51.5
R2,G2,N1,G,Shoot,55.5
R2,G2,N2,A,Shoot,45
R2,G2,N2,B,Shoot,44
R2,G2,N2,C,Shoot,36.5
R2,G2,N2,D,Shoot,40.5
R2,G2,N2,E,Shoot,37.5
R2,G2,N2,F,Shoot,26.5
R2,G2,N2,G,Shoot,42
R3,G1,N1,A,Shoot,58.5
R3,G1,N1,B,Shoot,57
R3,G1,N1,C,Shoot,92.5
R3,G1,N1,D,Shoot,77.5
R3,G1,N1,E,Shoot,52
R3,G1,N1,F,Shoot,62
R3,G1,N1,G,Shoot,45
R3,G1,N2,A,Shoot,67.5
R3,G1,N2,B,Shoot,52.5
R3,G1,N2,C,Shoot,56
R3,G1,N2,D,Shoot,46
R3,G1,N2,E,Shoot,75.5
R3,G1,N2,F,Shoot,75.5
R3,G1,N2,G,Shoot,60
R3,G2,N1,A,Shoot,33
R3,G2,N1,B,Shoot,34
R3,G2,N1,C,Shoot,30.5
R3,G2,N1,D,Shoot,47.5
R3,G2,N1,E,Shoot,26
R3,G2,N1,F,Shoot,29.5
R3,G2,N1,G,Shoot,28.5
R3,G2,N2,A,Shoot,42.5
R3,G2,N2,B,Shoot,38.5
R3,G2,N2,C,Shoot,45
R3,G2,N2,D,Shoot,38.5
R3,G2,N2,E,Shoot,50.5
R3,G2,N2,F,Shoot,35.5
R3,G2,N2,G,Shoot,39.5
R4,G1,N1,A,Shoot,49.5
R4,G1,N1,B,Shoot,51
R4,G1,N1,C,Shoot,48
R4,G1,N1,D,Shoot,42
R4,G1,N1,E,Shoot,48
R4,G1,N1,F,Shoot,93
R4,G1,N1,G,Shoot,44.5
R4,G1,N2,A,Shoot,60.5
R4,G1,N2,B,Shoot,63
R4,G1,N2,C,Shoot,62.5
R4,G1,N2,D,Shoot,65.5
R4,G1,N2,E,Shoot,67.5
R4,G1,N2,F,Shoot,64
R4,G1,N2,G,Shoot,65.5
R4,G2,N1,A,Shoot,31.5
R4,G2,N1,B,Shoot,43.5
R4,G2,N1,C,Shoot,27
R4,G2,N1,D,Shoot,22
R4,G2,N1,E,Shoot,50
R4,G2,N1,F,Shoot,34.5
R4,G2,N1,G,Shoot,18.5
R4,G2,N2,A,Shoot,54.5
R4,G2,N2,B,Shoot,53.5
R4,G2,N2,C,Shoot,33.5
R4,G2,N2,D,Shoot,34.5
R4,G2,N2,E,Shoot,37.5
R4,G2,N2,F,Shoot,46
R4,G2,N2,G,Shoot,34.5
R1,G1,N1,A,Root,25
R1,G1,N1,B,Root,15
R1,G1,N1,C,Root,56.5
R1,G1,N1,D,Root,23.5
R1,G1,N1,E,Root,33
R1,G1,N1,F,Root,22.5
R1,G1,N1,G,Root,23.5
R1,G1,N2,A,Root,11.5
R1,G1,N2,B,Root,12.5
R1,G1,N2,C,Root,11
R1,G1,N2,D,Root,12.5
R1,G1,N2,E,Root,15.5
R1,G1,N2,F,Root,17
R1,G1,N2,G,Root,11
R1,G2,N1,A,Root,32
R1,G2,N1,B,Root,18.5
R1,G2,N1,C,Root,26
R1,G2,N1,D,Root,21.5
R1,G2,N1,E,Root,19
R1,G2,N1,F,Root,31
R1,G2,N1,G,Root,12.5
R1,G2,N2,A,Root,9
R1,G2,N2,B,Root,10
R1,G2,N2,C,Root,17
R1,G2,N2,D,Root,9.5
R1,G2,N2,E,Root,11
R1,G2,N2,F,Root,17
R1,G2,N2,G,Root,10.5
R2,G1,N1,A,Root,35
R2,G1,N1,B,Root,20.5
R2,G1,N1,C,Root,19
R2,G1,N1,D,Root,59.5
R2,G1,N1,E,Root,47.5
R2,G1,N1,F,Root,33
R2,G1,N1,G,Root,33
R2,G1,N2,A,Root,13.5
R2,G1,N2,B,Root,17.5
R2,G1,N2,C,Root,19
R2,G1,N2,D,Root,36
R2,G1,N2,E,Root,23
R2,G1,N2,F,Root,15
R2,G1,N2,G,Root,14.5
R2,G2,N1,A,Root,24.5
R2,G2,N1,B,Root,19.5
R2,G2,N1,C,Root,24.5
R2,G2,N1,D,Root,23.5
R2,G2,N1,E,Root,16.5
R2,G2,N1,F,Root,15.5
R2,G2,N1,G,Root,25
R2,G2,N2,A,Root,13.5
R2,G2,N2,B,Root,23.5
R2,G2,N2,C,Root,16.5
R2,G2,N2,D,Root,15.5
R2,G2,N2,E,Root,11.5
R2,G2,N2,F,Root,15.5
R2,G2,N2,G,Root,13.5
R3,G1,N1,A,Root,35
R3,G1,N1,B,Root,55
R3,G1,N1,C,Root,27.5
R3,G1,N1,D,Root,33.5
R3,G1,N1,E,Root,27
R3,G1,N1,F,Root,32.5
R3,G1,N1,G,Root,34
R3,G1,N2,A,Root,42
R3,G1,N2,B,Root,17
R3,G1,N2,C,Root,31.5
R3,G1,N2,D,Root,19.5
R3,G1,N2,E,Root,43.5
R3,G1,N2,F,Root,56
R3,G1,N2,G,Root,26
R3,G2,N1,A,Root,19
R3,G2,N1,B,Root,19
R3,G2,N1,C,Root,18.5
R3,G2,N1,D,Root,21.5
R3,G2,N1,E,Root,15
R3,G2,N1,F,Root,29.5
R3,G2,N1,G,Root,18.5
R3,G2,N2,A,Root,27.5
R3,G2,N2,B,Root,15
R3,G2,N2,C,Root,11.5
R3,G2,N2,D,Root,15.5
R3,G2,N2,E,Root,29
R3,G2,N2,F,Root,18.5
R3,G2,N2,G,Root,17.5
R4,G1,N1,A,Root,22
R4,G1,N1,B,Root,37.5
R4,G1,N1,C,Root,42
R4,G1,N1,D,Root,36
R4,G1,N1,E,Root,33.5
R4,G1,N1,F,Root,54
R4,G1,N1,G,Root,29.5
R4,G1,N2,A,Root,18
R4,G1,N2,B,Root,57.5
R4,G1,N2,C,Root,24
R4,G1,N2,D,Root,32.5
R4,G1,N2,E,Root,42.5
R4,G1,N2,F,Root,33
R4,G1,N2,G,Root,43.5
R4,G2,N1,A,Root,15.5
R4,G2,N1,B,Root,16.5
R4,G2,N1,C,Root,30
R4,G2,N1,D,Root,25
R4,G2,N1,E,Root,13.5
R4,G2,N1,F,Root,28.5
R4,G2,N1,G,Root,15
R4,G2,N2,A,Root,20.5
R4,G2,N2,B,Root,13.5
R4,G2,N2,C,Root,14
R4,G2,N2,D,Root,15
R4,G2,N2,E,Root,16
R4,G2,N2,F,Root,30.5
R4,G2,N2,G,Root,17
R1,G1,N1,A,Tuber,148.5
R1,G1,N1,B,Tuber,153
R1,G1,N1,C,Tuber,142.5
R1,G1,N1,D,Tuber,112
R1,G1,N1,E,Tuber,161.5
R1,G1,N1,F,Tuber,16
R1,G1,N1,G,Tuber,125
R1,G1,N2,A,Tuber,68.5
R1,G1,N2,B,Tuber,69.5
R1,G1,N2,C,Tuber,86
R1,G1,N2,D,Tuber,71
R1,G1,N2,E,Tuber,96.5
R1,G1,N2,F,Tuber,65.5
R1,G1,N2,G,Tuber,65.5
R1,G2,N1,A,Tuber,128
R1,G2,N1,B,Tuber,131
R1,G2,N1,C,Tuber,214.5
R1,G2,N1,D,Tuber,120.5
R1,G2,N1,E,Tuber,186
R1,G2,N1,F,Tuber,206
R1,G2,N1,G,Tuber,178
R1,G2,N2,A,Tuber,68.5
R1,G2,N2,B,Tuber,50.5
R1,G2,N2,C,Tuber,25.5
R1,G2,N2,D,Tuber,69.5
R1,G2,N2,E,Tuber,88
R1,G2,N2,F,Tuber,129
R1,G2,N2,G,Tuber,102.5
R2,G1,N1,A,Tuber,156
R2,G1,N1,B,Tuber,205
R2,G1,N1,C,Tuber,146.5
R2,G1,N1,D,Tuber,183
R2,G1,N1,E,Tuber,146
R2,G1,N1,F,Tuber,166.5
R2,G1,N1,G,Tuber,128
R2,G1,N2,A,Tuber,92
R2,G1,N2,B,Tuber,102
R2,G1,N2,C,Tuber,81.5
R2,G1,N2,D,Tuber,77
R2,G1,N2,E,Tuber,88
R2,G1,N2,F,Tuber,75
R2,G1,N2,G,Tuber,82.5
R2,G2,N1,A,Tuber,161.5
R2,G2,N1,B,Tuber,150
R2,G2,N1,C,Tuber,129.5
R2,G2,N1,D,Tuber,208
R2,G2,N1,E,Tuber,126.5
R2,G2,N1,F,Tuber,209.5
R2,G2,N1,G,Tuber,129.5
R2,G2,N2,A,Tuber,132
R2,G2,N2,B,Tuber,122.5
R2,G2,N2,C,Tuber,124.5
R2,G2,N2,D,Tuber,116
R2,G2,N2,E,Tuber,108
R2,G2,N2,F,Tuber,92
R2,G2,N2,G,Tuber,131.5
R3,G1,N1,A,Tuber,174.5
R3,G1,N1,B,Tuber,166
R3,G1,N1,C,Tuber,200.5
R3,G1,N1,D,Tuber,175
R3,G1,N1,E,Tuber,105.5
R3,G1,N1,F,Tuber,211
R3,G1,N1,G,Tuber,128
R3,G1,N2,A,Tuber,141
R3,G1,N2,B,Tuber,106
R3,G1,N2,C,Tuber,194
R3,G1,N2,D,Tuber,88.5
R3,G1,N2,E,Tuber,152.5
R3,G1,N2,F,Tuber,127
R3,G1,N2,G,Tuber,121
R3,G2,N1,A,Tuber,198
R3,G2,N1,B,Tuber,185.5
R3,G2,N1,C,Tuber,172.5
R3,G2,N1,D,Tuber,223.5
R3,G2,N1,E,Tuber,126.5
R3,G2,N1,F,Tuber,159.5
R3,G2,N1,G,Tuber,195.5
R3,G2,N2,A,Tuber,142
R3,G2,N2,B,Tuber,91
R3,G2,N2,C,Tuber,69
R3,G2,N2,D,Tuber,139.5
R3,G2,N2,E,Tuber,126.5
R3,G2,N2,F,Tuber,119.5
R3,G2,N2,G,Tuber,118.5
R4,G1,N1,A,Tuber,190.5
R4,G1,N1,B,Tuber,242.5
R4,G1,N1,C,Tuber,181.5
R4,G1,N1,D,Tuber,185.5
R4,G1,N1,E,Tuber,182.5
R4,G1,N1,F,Tuber,173
R4,G1,N1,G,Tuber,215.5
R4,G1,N2,A,Tuber,131
R4,G1,N2,B,Tuber,161.5
R4,G1,N2,C,Tuber,125
R4,G1,N2,D,Tuber,109.5
R4,G1,N2,E,Tuber,155.5
R4,G1,N2,F,Tuber,145.5
R4,G1,N2,G,Tuber,177.5
R4,G2,N1,A,Tuber,214
R4,G2,N1,B,Tuber,193
R4,G2,N1,C,Tuber,183.5
R4,G2,N1,D,Tuber,189
R4,G2,N1,E,Tuber,210.5
R4,G2,N1,F,Tuber,227
R4,G2,N1,G,Tuber,162.5
R4,G2,N2,A,Tuber,148.5
R4,G2,N2,B,Tuber,77
R4,G2,N2,C,Tuber,82.5
R4,G2,N2,D,Tuber,104.5
R4,G2,N2,E,Tuber,112
R4,G2,N2,F,Tuber,123.5
R4,G2,N2,G,Tuber,103.5